LeadID;Email;Data;IP;State;Affiliate;Aff.Ch.Id;Buyer;Buyer Ch.Id;Campaign Id;Status;Notes;
20065;tigran@adrack.com;04/15/2019 16:51:25;123.123.123.123;CA;Test_Affiliate;Test_Buyer_Affiliate_2;;;Test_Campaign;Reject;;;
20064;tigran@adrack.com;04/15/2019 16:51:25;123.123.123.123;CA;Test_Affiliate;Test_Buyer_Affiliate_2;;;Test_Campaign;Reject;;;
20063;tigran@adrack.com;04/15/2019 16:51:25;123.123.123.123;CA;Test_Affiliate;Test_Buyer_Affiliate_2;;;Test_Campaign;Reject;;;
20062;tigran@adrack.com;04/15/2019 16:51:25;123.123.123.123;CA;Test_Affiliate;Test_Buyer_Affiliate_2;;;Test_Campaign;Reject;;;
20061;tigran@adrack.com;04/15/2019 16:51:25;123.123.123.123;CA;Test_Affiliate;Test_Buyer_Affiliate_2;;;Test_Campaign;Reject;;;
20060;tigran@adrack.com;04/15/2019 16:51:25;123.123.123.123;CA;Test_Affiliate;Test_Buyer_Affiliate_2;;;Test_Campaign;Reject;;;
20059;tigran@adrack.com;04/15/2019 16:51:24;123.123.123.123;CA;Test_Affiliate;Test_Buyer_Affiliate_2;;;Test_Campaign;Reject;;;
20058;tigran@adrack.com;04/15/2019 16:51:24;123.123.123.123;CA;Test_Affiliate;Test_Buyer_Affiliate_2;;;Test_Campaign;Reject;;;
20057;tigran@adrack.com;04/15/2019 16:51:24;123.123.123.123;CA;Test_Affiliate;Test_Buyer_Affiliate_2;;;Test_Campaign;Reject;;;
20056;tigran@adrack.com;04/15/2019 16:51:24;123.123.123.123;CA;Test_Affiliate;Test_Buyer_Affiliate_2;;;Test_Campaign;Reject;;;
